payee_name,maker,fiscal_year,spend,checks
SHI INTERNATIONAL CORP,Netscout,2026,2854253.26,4
SHI INTERNATIONAL CORP,Trellix/McAfee,2026,2846060.48,20
CDW GOVERNMENT LLC,HP/HPE,2016,2836157.99,42
SHI INTERNATIONAL CORP,Lenovo,2025,2829510.27,67
CDW GOVERNMENT LLC,F5,2022,2814508.65,12
WORLD WIDE TECHNOLOGY LLC,Armis,2024,2732896.77,2
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2016,2729441.61,61
CDW GOVERNMENT LLC,Oracle,2017,2703132.67,7
CDW GOVERNMENT LLC,Palo Alto Networks,2017,2681977.26,3
CDW GOVERNMENT LLC,Autodesk,2025,2655273.19,15
WORLD WIDE TECHNOLOGY LLC,NetApp,2024,2592381.89,7
SHI INTERNATIONAL CORP,Fortinet,2022,2588533.2800000003,13
CDW GOVERNMENT LLC,Arista,2024,2559421.5900000003,5
CARAHSOFT TECHNOLOGY CORP,Unattributed,2017,2549681.78,89
CDW GOVERNMENT LLC,Panasonic,2022,2537351.65,20
CARAHSOFT TECHNOLOGY CORP,Unattributed,2021,2460566.02,106
CDW GOVERNMENT LLC,Multiple makers,2023,2459754.23,21
SHI INTERNATIONAL CORP,Check Point,2021,2439964.4,13
SHI INTERNATIONAL CORP,Veracode,2022,2435897.52,1
DELL MARKETING LP,Dell/EMC,2025,2431002.68,92
CDW GOVERNMENT LLC,Software AG,2018,2430000.0,1
CDW GOVERNMENT LLC,Infoblox,2025,2403204.96,6
SHI INTERNATIONAL CORP,Netscout,2022,2396701.08,12
CDW GOVERNMENT LLC,Avaya,2023,2378358.18,39
CDW GOVERNMENT LLC,Panasonic,2020,2351853.55,50
CDW GOVERNMENT LLC,Netscout,2018,2342994.86,6
INSIGHT PUBLIC SECTOR INC,Unattributed,2024,2337138.43,204
CDW GOVERNMENT LLC,Accela,2025,2323254.3200000003,4
SHI INTERNATIONAL CORP,Workday,2025,2308909.75,6
CDW GOVERNMENT LLC,Accela,2026,2308675.23,4
SHI INTERNATIONAL CORP,Commvault,2020,2298417.8,5
SHI INTERNATIONAL CORP,BMC,2023,2283411.53,10
SHI INTERNATIONAL CORP,Check Point,2026,2276246.25,20
SHI INTERNATIONAL CORP,Nuvalence,2024,2272104.03,4
SHI INTERNATIONAL CORP,ServiceNow,2020,2252438.88,17
CARAHSOFT TECHNOLOGY CORP,Salesforce,2023,2230105.24,12
SHI INTERNATIONAL CORP,Check Point,2025,2204096.39,24
CDW GOVERNMENT LLC,Panasonic,2023,2177104.5,11
CDW GOVERNMENT LLC,MTX Group,2023,2163804.17,10
CDW GOVERNMENT LLC,Commvault,2024,2151334.19,8
CDW GOVERNMENT LLC,Gigamon,2024,2101097.39,5
CDW GOVERNMENT LLC,Commvault,2025,2093208.97,9
CDW GOVERNMENT LLC,Nutanix,2026,2012105.8499999999,6
PRESIDIO NETWORKED SOLUTIONS LLC,Unattributed,2024,2008974.79,14
CDW GOVERNMENT LLC,Broadcom/Symantec/CA,2019,2003973.38,3
GOVCONNECTION INC,Unattributed,2024,1984131.99,83
WORLD WIDE TECHNOLOGY LLC,NetApp,2023,1983824.99,6
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2026,1977445.04,5
CDW GOVERNMENT LLC,Ciena,2024,1928998.94,8
SHI INTERNATIONAL CORP,Adobe,2022,1914439.96,57
CARAHSOFT TECHNOLOGY CORP,Unattributed,2022,1910042.79,101
CDW GOVERNMENT LLC,Multiple makers,2019,1895886.8900000001,31
CDW GOVERNMENT LLC,Trellix/McAfee,2017,1893000.0,1
CDW GOVERNMENT LLC,Tableau,2026,1892289.44,52
CDW GOVERNMENT LLC,Avaya,2021,1883942.8,14
SHI INTERNATIONAL CORP,BMC,2025,1880128.68,5
CDW GOVERNMENT LLC,Gigamon,2025,1878134.48,5
SHI INTERNATIONAL CORP,Adobe,2020,1866703.21,3
SHI INTERNATIONAL CORP,Redis,2025,1862976.29,3
GOVCONNECTION INC,Unattributed,2018,1844018.98,236
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2025,1833399.4100000001,5
SHI INTERNATIONAL CORP,Adobe,2019,1811050.77,4
CDW GOVERNMENT LLC,Gigamon,2026,1801706.88,4
CDW GOVERNMENT LLC,Multiple makers,2016,1797576.49,18
CDW GOVERNMENT LLC,Netscout,2017,1793240.16,5
SHI INTERNATIONAL CORP,BMC,2024,1779765.24,5
SHI INTERNATIONAL CORP,Adobe,2023,1773338.88,72
CDW GOVERNMENT LLC,Commvault,2023,1768073.78,13
CDW GOVERNMENT LLC,Panasonic,2018,1762944.18,40
SHI INTERNATIONAL CORP,Fortinet,2023,1759601.15,9
CDW GOVERNMENT LLC,Cisco,2025,1715758.3399999999,4
SHI INTERNATIONAL CORP,Workday,2026,1700623.1,8
INSIGHT PUBLIC SECTOR INC,Unattributed,2019,1689869.04,76
CDW GOVERNMENT LLC,Commvault,2022,1685691.08,6
SHI INTERNATIONAL CORP,Lenovo,2023,1684641.52,39
SHI INTERNATIONAL CORP,Pure Storage,2020,1682302.13,2
CDW GOVERNMENT LLC,Veritas,2017,1667334.47,5
CDW GOVERNMENT LLC,Oracle,2021,1649255.05,33
DELL MARKETING LP,Dell/EMC,2022,1641560.3,25
CDW GOVERNMENT LLC,Dell/EMC,2016,1625840.99,20
SHI INTERNATIONAL CORP,Veracode,2021,1623931.68,1
CARAHSOFT TECHNOLOGY CORP,Veritas,2019,1618135.01,7
CDW GOVERNMENT LLC,Salesforce,2022,1610383.51,19
WORLD WIDE TECHNOLOGY LLC,Live XYZ,2024,1600000.0,1
WORLD WIDE TECHNOLOGY LLC,Live XYZ,2023,1600000.0,1
SHI INTERNATIONAL CORP,ServiceNow,2021,1590804.89,25
CDW GOVERNMENT LLC,Lenovo,2018,1583032.32,18
SHI INTERNATIONAL CORP,Redis,2024,1576883.6,6
WORLD WIDE TECHNOLOGY LLC,Axon,2025,1561650.6,5
SHI INTERNATIONAL CORP,OpenText,2026,1557242.04,2
SHI INTERNATIONAL CORP,BMC,2022,1520466.52,9
SHI INTERNATIONAL CORP,Red Hat,2021,1506421.68,9
CARAHSOFT TECHNOLOGY CORP,Unattributed,2016,1500119.34,42
CDW GOVERNMENT LLC,Splunk,2022,1486270.0,15
CDW GOVERNMENT LLC,F5,2023,1464475.02,13
SHI INTERNATIONAL CORP,BMC,2021,1451754.67,7
INSIGHT PUBLIC SECTOR INC,Unattributed,2020,1442326.54,43
WORLD WIDE TECHNOLOGY LLC,Live XYZ,2025,1421047.0,1
SHI INTERNATIONAL CORP,Netscout,2020,1416705.49,5
SHI INTERNATIONAL CORP,Netscout,2021,1415882.84,5
SHI INTERNATIONAL CORP,Redis,2023,1387657.14,1
SHI INTERNATIONAL CORP,Genesys,2026,1383738.46,9
